Time in Milliseconds, Duration from start, Key
1589141074554,67424,e
1589141074631,67501, 
1589141074798,67668,w
1589141074901,67771,i
1589141075167,68037,z
1589141075733,68603,a
1589141075835,68705,r
1589141076023,68893,d
1589141076122,68992, 
1589141076214,69084,c
1589141076307,69177,o
1589141076765,69635,Backspace
1589141076914,69784,Backspace
1589141077033,69903,g
1589141077138,70008,o
1589141077204,70074,v
1589141077352,70222,e
1589141077457,70327,r
1589141077571,70441,n
1589141077681,70551,i
1589141077793,70663,n
1589141077928,70798,g
1589141077957,70827, 
1589141078082,70952,b
1589141078237,71107,o
1589141078319,71189,d
1589141078490,71360,y
1589141078615,71485, 
1589141078768,71638,k
1589141078910,71780,n
1589141078974,71844,o
1589141079060,71930,w
1589141079187,72057,n
1589141079284,72154, 
1589141079391,72261,a
1589141079450,72320,s
1589141079524,72394, 
1589141079620,72490,t
1589141079697,72567,h
1589141079808,72678,e
1589141079868,72738, 
1589141080014,72884,m
1589141080100,72970,i
1589141080214,73084,n
1589141080303,73173,i
1589141080367,73237,s
1589141080432,73302,t
1589141080608,73478,r
1589141080684,73554,y
1589141080725,73595, 
1589141080880,73750,o
1589141081004,73874, 
1589141081066,73936,f
1589141081258,74128,m
1589141081412,74282,a
1589141081468,74338,i
1589141081642,74512,g
1589141081965,74835, 
1589141082314,75184,a
1589141082394,75264,n
1589141082483,75353,d
1589141082602,75472, 
1589141082764,75634,t
1589141082848,75718,o
1589141082909,75779, 
1589141083061,75931,d
1589141083169,76039,u
1589141083388,76258,b
1589141083823,76693,Backspace
1589141083982,76852,Backspace
1589141084137,77007,Backspace
1589141084326,77196,s
1589141084448,77318,u
1589141084615,77485,b
1589141084770,77640,j
1589141084944,77814,u
1589141085336,78206,g
1589141085501,78371,a
1589141085600,78470,t
1589141085758,78628,e
1589141085850,78720, 
1589141085949,78819,a
1589141086016,78886,l
1589141086205,79075,l
1589141086250,79120, 
1589141086365,79235,w
1589141086457,79327,i
1589141086558,79428,z
1589141086746,79616,a
1589141086816,79686,r
1589141086997,79867,d
1589141087098,79968,s
1589141087191,80061, 
1589141087368,80238,a
1589141087429,80299,n
1589141087571,80441,d
1589141087636,80506, 
1589141087758,80628,m
1589141087928,80798,u
1589141087984,80854,g
1589141088155,81025,g
1589141088248,81118,l
1589141088356,81226,e
1589141088461,81331, 
1589141088550,81420,s
1589141088764,81634,Backspace
1589141088931,81801,Backspace
1589141089052,81922,s
1589141089133,82003, 
1589141089277,82147,o
1589141089434,82304,r
1589141089512,82382, 
1589141089628,82498,n
1589141089768,82638,o
1589141089855,82725,n
1589141089945,82815, 
1589141090397,83267,w
1589141090530,83400,i
1589141090642,83512,z
1589141090846,83716,a
1589141090894,83764,r
1589141091064,83934,d
1589141091152,84022, 
1589141091419,84289,n
1589141091575,84445,o
1589141091642,84512,n
1589141091700,84570, 
1589141091932,84802,m
1589141092178,85048,a
1589141092283,85153,g
1589141092376,85246,i
1589141092488,85358,c
1589141092623,85493,a
1589141092727,85597,l
1589141092776,85646, 
1589141092919,85789,p
1589141093078,85948,e
1589141093134,86004,o
1589141093280,86150,p
1589141093472,86342,l
1589141093516,86386,e
1589141093630,86500, 
1589141093728,86598,t
1589141093832,86702,o
1589141093865,86735, 
1589141094009,86879,h
1589141094082,86952,i
1589141094131,87001,s
1589141094233,87103, 
1589141094363,87233,r
1589141094411,87281,u
1589141094579,87449,l
1589141094668,87538,e
1589141094729,87599, 
1589141094835,87705,i
1589141094961,87831,s
1589141095080,87950, 
1589141095192,88062,t
1589141095233,88103,h
1589141095334,88204,e
1589141095408,88278, 
1589141095471,88341,p
1589141095562,88432,r
1589141095670,88540,i
1589141095797,88667,m
1589141095906,88776,a
1589141096008,88878,r
